Transaction_Date,Branch,Account_Code,Account_Name,Account_Type,Credit,Debit,Journal_Source
2026-03-30,"Crown Fish Bar",101,"Cost of Sales","Direct Expense",0.00,1300.00,"Expense Entry"
2026-03-30,"Crown Fish Bar",102,"Cost of Labour","Direct Expense",0.00,1400.00,"Expense Entry"
2026-03-30,"Crown Fish Bar",103,"Admin Exp","Operating Expense",0.00,575.00,"Expense Entry"
2026-03-30,"Crown Fish Bar",105,"AD - Uber","Operating Expense",0.00,42.00,"Expense Entry"
2026-03-23,"Crown Fish Bar",101,"Cost of Sales","Direct Expense",0.00,1300.00,"Expense Entry"
2026-03-23,"Crown Fish Bar",102,"Cost of Labour","Direct Expense",0.00,1400.00,"Expense Entry"
2026-03-23,"Crown Fish Bar",103,"Admin Exp","Operating Expense",0.00,575.00,"Expense Entry"
2026-03-23,"Crown Fish Bar",105,"AD - Uber","Operating Expense",0.00,42.00,"Expense Entry"
2026-03-16,"Crown Fish Bar",101,"Cost of Sales","Direct Expense",0.00,1300.00,"Expense Entry"
2026-03-16,"Crown Fish Bar",102,"Cost of Labour","Direct Expense",0.00,1400.00,"Expense Entry"
2026-03-16,"Crown Fish Bar",103,"Admin Exp","Operating Expense",0.00,575.00,"Expense Entry"
2026-03-16,"Crown Fish Bar",105,"AD - Uber","Operating Expense",0.00,42.00,"Expense Entry"
2026-03-11,"Crown Fish Bar",1,Own,Revenue,310.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",2,Own,Revenue,310.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",1,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",2,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",3,Telephone,Revenue,0.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",4,Web,Revenue,0.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",5,JustEat,Revenue,254.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",6,JustEat,Revenue,254.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",5,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",6,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",7,Deliveroo,Revenue,35.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",8,Uber,Revenue,60.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",1,Own,Revenue,310.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",2,Own,Revenue,310.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",1,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",2,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",3,Telephone,Revenue,0.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",4,Web,Revenue,0.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",5,JustEat,Revenue,254.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",6,JustEat,Revenue,254.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",5,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",6,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",7,Deliveroo,Revenue,35.00,0.00,"Sales Entry"
2026-03-11,"Crown Fish Bar",8,Uber,Revenue,60.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",1,Own,Revenue,350.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",2,Own,Revenue,350.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",1,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",2,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",3,Telephone,Revenue,0.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",4,Web,Revenue,0.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",5,JustEat,Revenue,213.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",6,JustEat,Revenue,213.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",5,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",6,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",7,Deliveroo,Revenue,15.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",8,Uber,Revenue,17.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",1,Own,Revenue,350.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",2,Own,Revenue,350.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",1,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",2,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",3,Telephone,Revenue,0.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",4,Web,Revenue,0.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",5,JustEat,Revenue,213.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",6,JustEat,Revenue,213.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",5,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",6,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",7,Deliveroo,Revenue,15.00,0.00,"Sales Entry"
2026-03-10,"Crown Fish Bar",8,Uber,Revenue,17.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",1,Own,Revenue,240.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",2,Own,Revenue,240.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",1,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",2,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",3,Telephone,Revenue,0.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",4,Web,Revenue,0.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",5,JustEat,Revenue,299.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",6,JustEat,Revenue,299.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",5,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",6,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",7,Deliveroo,Revenue,30.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",8,Uber,Revenue,65.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",101,"Cost of Sales","Direct Expense",0.00,1300.00,"Expense Entry"
2026-03-09,"Crown Fish Bar",102,"Cost of Labour","Direct Expense",0.00,1400.00,"Expense Entry"
2026-03-09,"Crown Fish Bar",103,"Admin Exp","Operating Expense",0.00,575.00,"Expense Entry"
2026-03-09,"Crown Fish Bar",105,"AD - Uber","Operating Expense",0.00,42.00,"Expense Entry"
2026-03-09,"Crown Fish Bar",109,"Sale - Deliveroo","Direct Expense",0.00,31.50,"Expense Entry"
2026-03-09,"Crown Fish Bar",111,"Sale - JE","Direct Expense",0.00,142.80,"Expense Entry"
2026-03-09,"Crown Fish Bar",110,"Sale - Uber","Direct Expense",0.00,59.64,"Expense Entry"
2026-03-09,"Crown Fish Bar",1,Own,Revenue,240.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",2,Own,Revenue,240.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",1,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",2,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",3,Telephone,Revenue,0.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",4,Web,Revenue,0.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",5,JustEat,Revenue,299.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",6,JustEat,Revenue,299.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",5,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",6,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",7,Deliveroo,Revenue,30.00,0.00,"Sales Entry"
2026-03-09,"Crown Fish Bar",8,Uber,Revenue,65.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",1,Own,Revenue,180.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",2,Own,Revenue,180.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",1,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",2,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",3,Telephone,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",4,Web,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",5,JustEat,Revenue,215.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",6,JustEat,Revenue,215.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",5,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",6,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",7,Deliveroo,Revenue,65.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",8,Uber,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",1,Own,Revenue,180.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",2,Own,Revenue,180.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",1,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",2,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",3,Telephone,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",4,Web,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",5,JustEat,Revenue,215.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",6,JustEat,Revenue,215.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",5,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",6,JustEat,Revenue,0.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",7,Deliveroo,Revenue,65.00,0.00,"Sales Entry"
2026-03-08,"Crown Fish Bar",8,Uber,Revenue,0.00,0.00,"Sales Entry"
2026-03-07,"Crown Fish Bar",1,Own,Revenue,350.00,0.00,"Sales Entry"
2026-03-07,"Crown Fish Bar",2,Own,Revenue,350.00,0.00,"Sales Entry"
2026-03-07,"Crown Fish Bar",1,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-07,"Crown Fish Bar",2,Own,Revenue,0.00,0.00,"Sales Entry"
2026-03-07,"Crown Fish Bar",3,Telephone,Revenue,0.00,0.00,"Sales Entry"
2026-03-07,"Crown Fish Bar",4,Web,Revenue,0.00,0.00,"Sales Entry"
2026-03-07,"Crown Fish Bar",5,JustEat,Revenue,330.00,0.00,"Sales Entry"
